Subclass or group,score,generic explanation score,general recommendation,detailed recommendation
Hard substrate benthic habitat,2,"Cemented to hard rock soil types: high number of different habitats and species","improve benthic knowledge of the area","video, photography survey, acoustic passive"
Soft substrate benthic habitat,3,"few variety of species and habitats, present less variety of species than cemented rock soil","improve benthic knowledge of the area","video, photography survey, acoustic passive"
Particular habitat,4,"Particular habitats","improve benthic knowledge of the area","video, photography survey, acoustic passive"
