Subclass or group,score,generic explanation score,general recommendation,detailed recommendation
Seals,5,"Presence of species in the area near to devices is very positive, maximum score","improve marine mammals knowledge of the area","visual survey, SCUBA survey, tagging, photo ID"
Shallow diving birds,5,"Presence of species in the area near to devices is very positive, maximum score","improve marine birds knowledge of the area","vessel based survey, aerial survey"
Medium diving birds,5,"Presence of species in the area near to devices is very positive, maximum score","improve marine birds knowledge of the area","vessel based survey, aerial survey"
Deep diving birds,5,"Presence of species in the area near to devices is very positive, maximum score","improve marine birds knowledge of the area","vessel based survey, aerial survey"
